"playDispNm","playPos","sum(GP)","sum(playMin)","sum(playPTS)","sum(playAST)","sum(playTO)","sum(playSTL)","sum(playBLK)","sum(playFGA)","sum(playFGM)","sum(play3PA)","sum(play3PM)","sum(playFTA)","sum(playFTM)","sum(playTRB)","sum(TotPoss)","TotGP","playMPG","playPTS.36","playAST.36","playTO.36","playSTL.36","playBLK.36","playFGA.36","playFGM.36","playFGp.36","play3PA.36","play3PM.36","play3Pp.36","playFTA.36","playFTM.36","playFTp.36","playTRB.36","playTotPoss.36"
"Lance Thomas","SF",73,1354,298,44,41,30,14,267,102,124,50,53,44,175,282.666963931099,73,667.72602739726,7.9231905465288,1.1698670605613,1.09010339734121,0.797636632200886,0.372230428360414,7.09896602658789,2.71196454948301,0.382022471910112,3.29689807976366,1.32939438700148,0.403225806451613,1.40915805022157,1.1698670605613,0.830188679245283,4.65288035450517,7.51551750481504
"Langston Galloway","SG",58,865,360,58,18,36,5,339,126,217,75,41,33,92,308.508394773434,58,536.896551724138,14.9826589595376,2.41387283236994,0.749132947976879,1.49826589595376,0.208092485549133,14.1086705202312,5.24393063583815,0.371681415929204,9.03121387283237,3.12138728323699,0.345622119815668,1.70635838150289,1.37341040462428,0.804878048780488,3.82890173410405,12.8396557362354
"Larry Nance Jr.","PF",66,1422,573,82,51,89,39,414,240,12,2,137,91,452,479.156430762216,66,775.636363636364,14.5063291139241,2.07594936708861,1.29113924050633,2.25316455696203,0.987341772151899,10.4810126582278,6.07594936708861,0.579710144927536,0.30379746835443,0.0506329113924051,0.166666666666667,3.46835443037975,2.30379746835443,0.664233576642336,11.4430379746835,12.1305425509422
"Lauri Markkanen","PF",68,2022,1033,79,83,40,41,861,374,400,145,166,140,508,849.49319337218,68,1070.47058823529,18.3916913946588,1.40652818991098,1.47774480712166,0.712166172106825,0.729970326409496,15.3293768545994,6.65875370919881,0.434378629500581,7.12166172106825,2.58160237388724,0.3625,2.95548961424332,2.49258160237389,0.843373493975904,9.04451038575668,15.1245078938667
"LeBron James","SF",82,3024,2251,745,348,117,71,1579,857,406,149,531,388,712,2051.90128613429,82,1327.60975609756,26.797619047619,8.86904761904762,4.14285714285714,1.39285714285714,0.845238095238095,18.797619047619,10.202380952381,0.542748575047498,4.83333333333333,1.77380952380952,0.366995073891626,6.32142857142857,4.61904761904762,0.730696798493409,8.47619047619048,24.4273962635035
"Lonzo Ball","PG",52,1782,528,376,136,87,42,564,203,295,90,71,32,359,719.935691209468,52,1233.69230769231,10.6666666666667,7.5959595959596,2.74747474747475,1.75757575757576,0.848484848484849,11.3939393939394,4.1010101010101,0.359929078014184,5.95959595959596,1.81818181818182,0.305084745762712,1.43434343434343,0.646464646464647,0.450704225352113,7.25252525252525,14.5441553779691
"Lou Williams","SG",79,2592,1782,417,235,85,20,1337,582,518,186,491,432,198,1580.93692275133,79,1181.16455696203,24.75,5.79166666666667,3.26388888888889,1.18055555555556,0.277777777777778,18.5694444444444,8.08333333333333,0.43530291697831,7.19444444444444,2.58333333333333,0.359073359073359,6.81944444444444,6,0.879837067209776,2.75,21.9574572604352
"Luc Richard Mbah a Moute","PF",61,1563,460,55,69,72,26,345,166,173,63,95,65,186,387.682629329402,61,922.426229508197,10.595009596929,1.26679462571977,1.58925143953935,1.65834932821497,0.598848368522073,7.94625719769674,3.82341650671785,0.481159420289855,3.98464491362764,1.4510556621881,0.364161849710983,2.18809980806142,1.49712092130518,0.684210526315789,4.28406909788868,8.92935038762537
"Lucas Nogueira","C",45,412,120,22,16,23,42,79,48,19,5,28,19,86,96.1921190255592,45,329.6,10.4854368932039,1.92233009708738,1.39805825242718,2.00970873786408,3.66990291262136,6.90291262135922,4.19417475728155,0.607594936708861,1.66019417475728,0.436893203883495,0.263157894736842,2.44660194174757,1.66019417475728,0.678571428571429,7.51456310679612,8.40513661388381
"Luke Babbitt","SF",48,716,259,31,19,9,7,214,91,155,60,22,17,96,192.600759206118,48,537,13.0223463687151,1.5586592178771,0.955307262569832,0.452513966480447,0.35195530726257,10.7597765363128,4.57541899441341,0.425233644859813,7.79329608938547,3.01675977653631,0.387096774193548,1.10614525139665,0.854748603351955,0.772727272727273,4.8268156424581,9.68383705505621
"Luke Kennard","SG",73,1469,558,124,69,44,12,465,206,195,81,76,65,175,487.258160444726,73,724.438356164384,13.6746085772634,3.03880190605854,1.69094622191967,1.0782845473111,0.294077603812117,11.3955071477195,5.04833219877468,0.443010752688172,4.7787610619469,1.98502382573179,0.415384615384615,1.86249149081007,1.5929203539823,0.855263157894737,4.28863172226004,11.9409760217904
"Luke Kornet","PF",20,326,134,26,12,5,16,125,49,79,28,11,8,64,120.576277034298,20,586.8,14.7975460122699,2.87116564417178,1.32515337423313,0.552147239263804,1.76687116564417,13.8036809815951,5.41104294478528,0.392,8.7239263803681,3.0920245398773,0.354430379746835,1.21472392638037,0.883435582822086,0.727272727272727,7.06748466257669,13.3151716970391
"Malachi Richardson","SG",25,322,89,13,10,10,1,90,30,40,12,22,17,34,90.4939597564057,25,463.68,9.95031055900621,1.45341614906832,1.11801242236025,1.11801242236025,0.111801242236025,10.0621118012422,3.35403726708075,0.333333333333333,4.47204968944099,1.3416149068323,0.3,2.45962732919255,1.90062111801242,0.772727272727273,3.80124223602484,10.117337115623
"Malcolm Brogdon","PG",48,1440,625,152,66,41,13,503,244,161,62,85,75,156,541.790163804415,48,1080,15.625,3.8,1.65,1.025,0.325,12.575,6.1,0.485089463220676,4.025,1.55,0.385093167701863,2.125,1.875,0.882352941176471,3.9,13.5447540951104
"Malcolm Delaney","PG",47,865,302,144,59,32,5,244,96,111,42,82,68,86,312.917294475261,47,662.553191489362,12.5687861271676,5.99306358381503,2.45549132947977,1.33179190751445,0.208092485549133,10.1549132947977,3.99537572254335,0.39344262295082,4.61965317919075,1.74797687861272,0.378378378378378,3.41271676300578,2.83005780346821,0.829268292682927,3.57919075144509,13.0231475157334
